,Title,Accuracy,Jaccard Similarity,Dice Similarity
0,banana1.jpg,0.6821354166666667,0.4462327174566448,0.6170966982981727
1,banana2.jpg,0.9923697916666666,0.9683076215843485,0.9838986660072264
2,banana3.jpg,0.8688151041666666,0.641949641949642,0.7819358469330332
3,book.jpg,0.91455078125,0.8120341131232411,0.8962680197268589
4,bool.jpg,0.4504188034188034,0.18750829221447932,0.3158012343051713
5,bush.jpg,0.8506777777777778,0.5193891782993789,0.6836815553480782
6,ceramic.jpg,0.7523600260416666,0.5512434817488969,0.7107117460727908
7,cross.jpg,0.7772814814814815,0.4018957440248257,0.5733603882282827
8,doll.jpg,0.7054424021637137,0.5509022710059029,0.7104280924788279
9,elefant.jpg,0.7633268229166666,0.5758703565428411,0.7308600661874125
10,flower.jpg,0.9795666666666667,0.9045072177796241,0.9498595850260381
11,fullmoon.jpg,0.9707950872656755,0.6736963744041601,0.8050401311814965
12,grave.jpg,0.9416555555555556,0.6674126464689116,0.8005368651632754
13,llama.jpg,0.8646248745553612,0.5571349994843412,0.7155898488812354
14,memorial.jpg,0.9894185185185185,0.9432853598014889,0.9708150736007681
15,music.jpg,0.9857194010416667,0.9605372049510651,0.9798714378134334
16,person1.jpg,0.9911296296296296,0.9692447960140228,0.9843822342208398
17,person2.jpg,0.9234074074074075,0.6794046973102861,0.8091018185174929
18,person3.jpg,0.9630925925925926,0.7213600648715153,0.8381280356069589
19,person4.jpg,0.7222074074074074,0.39299963581920444,0.5642494451738842
20,person5.jpg,0.8077888888888889,0.2569264472158188,0.4088169960699436
21,person6.jpg,0.9478518518518518,0.6720165855249365,0.8038396165956142
22,person7.jpg,0.9973666666666666,0.9623968690501375,0.98083816197278
23,person8.jpg,0.7348860677083333,0.41967364970785237,0.5912255253793222
24,scissors.jpg,0.7625944010416666,0.30087808431910124,0.462576913157216
25,sheep.jpg,0.9956555555555555,0.9219924187005387,0.959413169094495
26,stone1.jpg,0.8383072916666666,0.5403251927187925,0.7015728824964252
27,stone2.jpg,0.9963020833333334,0.9849260900719196,0.9924058079525095
28,teddy.jpg,0.9936655106518508,0.9703985447329254,0.9849769198489299
29,tennis.jpg,0.9305762711864407,0.5272937103289094,0.6904941816533172
